Dödsorsaksstatistik, Antal döda per 100 000, Ålder: 10-24
Diagnos;Region;Kön;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
X60­X84 Avsiktligt självdestruktiv handling (självmord);Västra Götalands län;Kvinnor;3,10;6,96;8,46;3,79;4,46;2,18;2,14;6,33;4,19;7,65;6,24;6,93;6,92;4,86;4,89;5,62;4,93;4,93;2,83;9,23;8,52;7,81
X60­X84 Avsiktligt självdestruktiv handling (självmord);Värmlands län;Män;7,90;11,96;20,03;11,98;11,80;­­;15,21;15,06;18,82;18,85;15,11;15,20;22,95;15,40;42,83;11,82;23,85;8,04;4,06;4,08;12,28;4,13
X60­X84 Avsiktligt självdestruktiv handling (självmord);Värmlands län;Kvinnor;­­;­­;4,31;4,30;4,25;­­;16,39;12,10;4,02;12,06;4,03;4,04;8,12;4,09;4,16;4,21;8,50;8,61;4,37;4,40;­­;­­
X60­X84 Avsiktligt självdestruktiv handling (självmord);Örebro län;Män;15,88;3,98;11,92;­­;19,45;7,69;3,78;14,97;7,47;18,60;14,82;14,85;7,42;11,10;11,13;18,55;3,70;18,50;11,13;3,69;3,64;10,81
X60­X84 Avsiktligt självdestruktiv handling (självmord);Örebro län;Kvinnor;8,23;4,12;­­;­­;4,02;3,96;­­;3,87;3,85;7,68;7,67;11,47;3,81;­­;3,83;3,87;3,90;­­;3,91;­­;­­;15,31
X60­X84 Avsiktligt självdestruktiv handling (självmord);Västmanlands län;Män;13,61;­­;13,62;­­;4,43;17,34;­­;25,16;­­;8,26;4,13;8,28;12,43;12,49;8,37;16,83;16,83;­­;8,41;8,37;12,41;12,29
X60­X84 Avsiktligt självdestruktiv handling (självmord);Västmanlands län;Kvinnor;­­;­­;4,91;4,87;­­;­­;­­;4,41;8,74;8,72;­­;­­;­­;4,36;4,38;­­;­­;17,78;8,96;­­;­­;13,53
X60­X84 Avsiktligt självdestruktiv handling (självmord);Dalarnas län;Män;30,25;11,46;15,35;­­;11,33;7,42;7,30;10,88;10,91;3,66;7,36;11,13;11,21;11,33;3,84;3,92;11,92;8,01;4,02;4,02;16,12;28,29
X60­X84 Avsiktligt självdestruktiv handling (självmord);Dalarnas län;Kvinnor;8,13;4,11;­­;4,10;4,07;­­;3,98;­­;11,91;3,98;12,04;12,13;4,07;­­;4,18;­­;­­;­­;13,39;­­;­­;18,08
X60­X84 Avsiktligt självdestruktiv handling (självmord);Gävleborgs län;Män;3,97;20,13;8,05;11,96;3,92;3,86;7,64;7,58;7,57;15,19;­­;7,65;11,53;11,59;7,79;7,86;19,75;11,87;7,93;3,96;27,83;24,09
X60­X84 Avsiktligt självdestruktiv handling (självmord);Gävleborgs län;Kvinnor;­­;4,30;­­;­­;­­;­­;­­;­­;­­;8,08;8,13;4,09;12,35;4,14;4,18;­­;­­;8,57;8,64;4,36;13,14;8,86
X60­X84 Avsiktligt självdestruktiv handling (självmord);Västernorrlands län;Män;­­;13,07;26,37;4,42;­­;13,22;13,22;17,58;17,60;4,42;4,45;13,44;13,52;13,63;­­;­­;9,28;13,95;­­;9,37;4,69;9,42
X60­X84 Avsiktligt självdestruktiv handling (självmord);Västernorrlands län;Kvinnor;4,68;­­;4,80;9,66;­­;4,82;4,78;4,74;4,72;9,43;9,48;4,80;9,67;­­;9,86;­­;5,04;­­;5,10;5,13;5,15;­­
X60­X84 Avsiktligt självdestruktiv handling (självmord);Jämtlands län;Män;8,11;8,20;24,69;8,20;8,14;­­;16,11;8,02;8,02;8,09;8,18;24,79;­­;16,91;34,44;­­;26,49;17,78;17,99;9,00;17,89;26,92
X60­X84 Avsiktligt självdestruktiv handling (självmord);Jämtlands län;Kvinnor;­­;­­;­­;­­;­­;­­;8,64;­­;17,17;­­;­­;8,79;­­;9,03;9,18;9,35;9,45;9,48;19,12;­­;­­;19,58
X60­X84 Avsiktligt självdestruktiv handling (självmord);Västerbottens län;Män;11,60;15,39;3,83;­­;3,79;11,16;3,65;14,47;10,78;3,61;3,66;­­;22,41;7,53;11,43;7,69;7,74;7,83;11,88;8,00;20,07;20,07
X60­X84 Avsiktligt självdestruktiv handling (självmord);Västerbottens län;Kvinnor;7,89;­­;7,90;­­;3,93;3,88;­­;7,57;7,53;7,57;­­;­­;3,96;8,00;­­;4,09;8,25;4,17;16,85;4,26;­­;4,32
X60­X84 Avsiktligt självdestruktiv handling (självmord);Norrbottens län;Män;16,07;8,11;24,55;20,48;4,05;4,00;11,90;11,84;7,91;15,93;16,09;8,14;8,19;­­;24,86;16,66;20,97;33,74;30,01;8,71;17,48;22,00
X60­X84 Avsiktligt självdestruktiv handling (självmord);Norrbottens län;Kvinnor;8,86;4,50;4,54;4,55;4,52;­­;­­;4,40;17,64;4,44;4,49;13,62;9,20;9,32;18,84;4,77;9,62;19,41;4,93;­­;10,27;10,50
